VisualDistractionTrials.thisRepN,VisualDistractionTrials.thisTrialN,VisualDistractionTrials.thisN,VisualDistractionTrials.thisIndex,VisualAndAudioDistractor.thisRepN,VisualAndAudioDistractor.thisTrialN,VisualAndAudioDistractor.thisN,VisualAndAudioDistractor.thisIndex,AudioDistractorFiles.thisRepN,AudioDistractorFiles.thisTrialN,AudioDistractorFiles.thisN,AudioDistractorFiles.thisIndex,IntroText.started,IntroText.stopped,next_screen1.keys,next_screen1.rt,next_screen1.started,next_screen1.stopped,FixationCrossText.started,FixationCrossText.stopped,Condition,p_Target_2.started,p_Target_2.stopped,b_Target_2.started,b_Target_2.stopped,p_Distractor_2.started,p_Distractor_2.stopped,b_Distractor_2.started,b_Distractor_2.stopped,g_Distractor_2.started,g_Distractor_2.stopped,h_Filler_2.started,h_Filler_2.stopped,l_Filler_2.started,l_Filler_2.stopped,y_filler_2.started,y_filler_2.stopped,Response,Response_code,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.started,mouse_2.stopped,whiteimage_2.started,whiteimage_2.stopped,Faster.started,Faster.stopped,happy.started,happy.stopped,sad.started,sad.stopped,Pause_Text.started,Pause_Text.stopped,next_screen1_2.keys,next_screen1_2.rt,next_screen1_2.started,next_screen1_2.stopped,p_Target.started,p_Target.stopped,b_Target.started,b_Target.stopped,p_Distractor.started,p_Distractor.stopped,b_Distractor.started,b_Distractor.stopped,g_Distractor.started,g_Distractor.stopped,h_Filler.started,h_Filler.stopped,l_Filler.started,l_Filler.stopped,y_filler.started,y_filler.stopped,p_Dis_Sound.started,p_Dis_Sound.stopped,b_Dis_Sound.started,b_Dis_Sound.stopped,g_Dis_Sound.started,g_Dis_Sound.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,whiteimage.started,whiteimage.stopped,p_Target_3.started,p_Target_3.stopped,b_Target_3.started,b_Target_3.stopped,h_Filler_3.started,h_Filler_3.stopped,l_Filler_3.started,l_Filler_3.stopped,y_filler_3.started,y_filler_3.stopped,p_Dis_Sound_2.started,p_Dis_Sound_2.stopped,b_Dis_Sound_2.started,b_Dis_Sound_2.stopped,g_Dis_Sound_2.started,g_Dis_Sound_2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.started,mouse_3.stopped,whiteimage_3.started,whiteimage_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,37.350445899995975,None,return,2.677852199994959,37.350445899995975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2022-06-27_10h10.04.220,SelectiveAttentionTest,2022.1.3,59.81104495626496,
0,0,0,0,,,,,,,,,,,,,,,40.05223269993439,None,Incongruent,41.08160669996869,41.296136099961586,41.08160669996869,41.296136099961586,41.08160669996869,41.296136099961586,41.08160669996869,41.296136099961586,41.08160669996869,41.296136099961586,41.08160669996869,41.296136099961586,41.08160669996869,41.296136099961586,41.08160669996869,41.296136099961586,Correct,1.0,[0.26527777],[-0.17291667],[1],[0],[0],[0.47926229995209724],0.008371280040591955,None,41.288849699893035,None,41.58604339999147,None,41.58604339999147,None,41.58604339999147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2022-06-27_10h10.04.220,SelectiveAttentionTest,2022.1.3,59.81104495626496,
1,0,1,0,,,,,,,,,,,,,,,42.08867209998425,None,Incongruent,43.09167619992513,43.29505109996535,43.09167619992513,43.29505109996535,43.09167619992513,43.29505109996535,43.09167619992513,43.29505109996535,43.09167619992513,43.29505109996535,43.09167619992513,43.29505109996535,43.09167619992513,43.29505109996535,43.09167619992513,43.29505109996535,Incorrect,2.0,[0.26458332],[-0.17291667],[0],[0],[1],[0.3199049000395462],0.014906489988788962,None,43.278144699987024,None,43.45751939993352,None,43.45751939993352,None,43.45751939993352,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2022-06-27_10h10.04.220,SelectiveAttentionTest,2022.1.3,59.81104495626496,
2,0,2,0,,,,,,,,,,,,,,,43.96060559991747,None,Neutral,44.976725499960594,45.1834630999947,44.976725499960594,45.1834630999947,44.976725499960594,45.1834630999947,44.976725499960594,45.1834630999947,44.976725499960594,45.1834630999947,44.976725499960594,45.1834630999947,44.976725499960594,45.1834630999947,44.976725499960594,45.1834630999947,None,0.0,[],[],[],[],[],[],0.00996739009860903,0.7217743900837377,45.15036209998652,45.64873689995147,45.728741799946874,None,45.728741799946874,None,45.728741799946874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2022-06-27_10h10.04.220,SelectiveAttentionTest,2022.1.3,59.81104495626496,
3,0,3,0,,,,,,,,,,,,,,,46.233844699920155,None,Congruent,47.24573659989983,47.45672589994501,47.24573659989983,47.45672589994501,47.24573659989983,47.45672589994501,47.24573659989983,47.45672589994501,47.24573659989983,47.45672589994501,47.24573659989983,47.45672589994501,47.24573659989983,47.45672589994501,47.24573659989983,47.45672589994501,Correct,1.0,[0.26527777],[-0.17291667],[1],[0],[0],[0.46937069995328784],0.013754190062172711,None,47.423198199947365,None,47.748812299920246,None,47.748812299920246,None,47.748812299920246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2022-06-27_10h10.04.220,SelectiveAttentionTest,2022.1.3,59.81104495626496,
4,0,4,0,,,,,,,,,,,,,,,48.25599949993193,None,Neutral,49.25913039990701,49.46255159995053,49.25913039990701,49.46255159995053,49.25913039990701,49.46255159995053,49.25913039990701,49.46255159995053,49.25913039990701,49.46255159995053,49.25913039990701,49.46255159995053,49.25913039990701,49.46255159995053,49.25913039990701,49.46255159995053,Correct,1.0,[0.26527777],[-0.17291667],[0],[0],[1],[0.5043388999765739],0.014604689902625978,None,49.44599619996734,None,49.80141069996171,None,49.80141069996171,None,49.80141069996171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2022-06-27_10h10.04.220,SelectiveAttentionTest,2022.1.3,59.81104495626496,
5,0,5,0,,,,,,,,,,,,,,,50.31190039997455,None,Incongruent,51.31705939990934,51.51826259994414,51.31705939990934,51.51826259994414,51.31705939990934,51.51826259994414,51.31705939990934,51.51826259994414,51.31705939990934,51.51826259994414,51.31705939990934,51.51826259994414,51.31705939990934,51.51826259994414,51.31705939990934,51.51826259994414,Correct,1.0,[0.26527777],[-0.17291667],[0],[0],[1],[0.45162680000066757],0.013602890074253082,None,51.50155859999359,None,51.79503689997364,None,51.79503689997364,None,51.79503689997364,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2022-06-27_10h10.04.220,SelectiveAttentionTest,2022.1.3,59.81104495626496,
6,0,6,0,,,,,,,,,,,,,,,52.300936199957505,None,Congruent,53.30672469991259,53.50712189998012,53.30672469991259,53.50712189998012,53.30672469991259,53.50712189998012,53.30672469991259,53.50712189998012,53.30672469991259,53.50712189998012,53.30672469991259,53.50712189998012,53.30672469991259,53.50712189998012,53.30672469991259,53.50712189998012,Correct,1.0,[0.26527777],[-0.17291667],[0],[0],[1],[0.43646009999793023],0.014105990063399076,None,53.49030679999851,None,53.787232799921185,None,53.787232799921185,None,53.787232799921185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2022-06-27_10h10.04.220,SelectiveAttentionTest,2022.1.3,59.81104495626496,
7,0,7,0,,,,,,,,,,,,,,,54.289770699921064,None,Congruent,55.29576179990545,55.496094599948265,55.29576179990545,55.496094599948265,55.29576179990545,55.496094599948265,55.29576179990545,55.496094599948265,55.29576179990545,55.496094599948265,55.29576179990545,55.496094599948265,55.29576179990545,55.496094599948265,55.29576179990545,55.496094599948265,Correct,1.0,[0.26527777],[-0.17291667],[1],[0],[0],[0.45145559997763485],0.013603989966213703,None,55.47964989999309,None,55.78406309999991,None,55.78406309999991,None,55.78406309999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2022-06-27_10h10.04.220,SelectiveAttentionTest,2022.1.3,59.81104495626496,
8,0,8,0,,,,,,,,,,,,,,,56.29525129997637,None,Congruent,57.31419209996238,57.51843809999991,57.31419209996238,57.51843809999991,57.31419209996238,57.51843809999991,57.31419209996238,57.51843809999991,57.31419209996238,57.51843809999991,57.31419209996238,57.51843809999991,57.31419209996238,57.51843809999991,57.31419209996238,57.51843809999991,Correct,1.0,[0.26527777],[-0.17291667],[0],[0],[1],[0.4355455000186339],0.011965090059675276,None,57.48494769993704,None,57.78618609998375,None,57.78618609998375,None,57.78618609998375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2022-06-27_10h10.04.220,SelectiveAttentionTest,2022.1.3,59.81104495626496,
9,0,9,0,,,,,,,,,,,,,,,58.28457989997696,None,Incongruent,59.302058999892324,59.50733049993869,59.302058999892324,59.50733049993869,59.302058999892324,59.50733049993869,59.302058999892324,59.50733049993869,59.302058999892324,59.50733049993869,59.302058999892324,59.50733049993869,59.302058999892324,59.50733049993869,59.302058999892324,59.50733049993869,Incorrect,2.0,[0.26527777],[-0.17291667],[1],[0],[0],[0.32042300002649426],0.012223190162330866,None,59.47409969998989,None,59.63475469988771,None,59.63475469988771,None,59.63475469988771,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2022-06-27_10h10.04.220,SelectiveAttentionTest,2022.1.3,59.81104495626496,
10,0,10,0,,,,,,,,,,,,,,,60.139878499903716,None,Neutral,61.15484839992132,61.3626180998981,61.15484839992132,61.3626180998981,61.15484839992132,61.3626180998981,61.15484839992132,61.3626180998981,61.15484839992132,61.3626180998981,61.15484839992132,61.3626180998981,61.15484839992132,61.3626180998981,61.15484839992132,61.3626180998981,Incorrect,2.0,[0.26527777],[-0.17291667],[0],[0],[1],[0.31433590000960976],0.00983829004690051,None,61.32895579992328,None,61.504871399956755,None,61.504871399956755,None,61.504871399956755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2022-06-27_10h10.04.220,SelectiveAttentionTest,2022.1.3,59.81104495626496,
11,0,11,0,,,,,,,,,,,,,,,62.01165249990299,None,Neutral,63.02503379993141,63.23482459993102,63.02503379993141,63.23482459993102,63.02503379993141,63.23482459993102,63.02503379993141,63.23482459993102,63.02503379993141,63.23482459993102,63.02503379993141,63.23482459993102,63.02503379993141,63.23482459993102,63.02503379993141,63.23482459993102,Incorrect,2.0,[0.26527777],[-0.17291667],[0],[0],[1],[0.49897740001324564],0.010144690051674843,None,63.201371699920855,None,63.543804599903524,None,63.543804599903524,None,63.543804599903524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2022-06-27_10h10.04.220,SelectiveAttentionTest,2022.1.3,59.81104495626496,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.05100339988712,None,return,1.3374310999643058,64.05100339988712,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2022-06-27_10h10.04.220,SelectiveAttentionTest,2022.1.3,59.81104495626496,
,,,,0,0,0,0,,,,,,,,,,,65.40464079997037,None,Neutral,,,,,,,,,,,,,,,,,Correct,1.0,,,,,,,,,,,66.97317319991998,None,66.97317319991998,None,66.97317319991998,None,,,,,,,66.41617039998528,66.6274363999255,66.41617039998528,66.6274363999255,66.41617039998528,66.6274363999255,66.41617039998528,66.6274363999255,66.41617039998528,66.6274363999255,66.41617039998528,66.6274363999255,66.41617039998528,66.6274363999255,66.41617039998528,66.6274363999255,66.40738828990143,None,66.40738828990143,None,66.40738828990143,None,[0.26944444],[-0.17291667],[1],[0],[0],[0.5332144999410957],0.009658789960667491,None,66.59678779996466,None,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2022-06-27_10h10.04.220,SelectiveAttentionTest,2022.1.3,59.81104495626496,
,,,,1,0,1,0,,,,,,,,,,,67.47708349989261,None,Incongruent,,,,,,,,,,,,,,,,,Incorrect,2.0,,,,,,,,,,,68.90639109991025,None,68.90639109991025,None,68.90639109991025,None,,,,,,,68.47978329996113,68.68339669995476,68.47978329996113,68.68339669995476,68.47978329996113,68.68339669995476,68.47978329996113,68.68339669995476,68.47978329996113,68.68339669995476,68.47978329996113,68.68339669995476,68.47978329996113,68.68339669995476,68.47978329996113,68.68339669995476,68.47966058992316,None,68.47966058992316,None,68.47966058992316,None,[0.26944444],[-0.17291667],[0],[0],[1],[0.387391300057061],0.013902790029533207,None,68.66690009995364,None,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2022-06-27_10h10.04.220,SelectiveAttentionTest,2022.1.3,59.81104495626496,
,,,,2,0,2,0,,,,,,,,,,,69.41599029989447,None,Neutral,,,,,,,,,,,,,,,,,Incorrect,2.0,,,,,,,,,,,70.86315329989884,None,70.86315329989884,None,70.86315329989884,None,,,,,,,70.4212987999199,70.62247869989369,70.4212987999199,70.62247869989369,70.4212987999199,70.62247869989369,70.4212987999199,70.62247869989369,70.4212987999199,70.62247869989369,70.4212987999199,70.62247869989369,70.4212987999199,70.62247869989369,70.4212987999199,70.62247869989369,70.41869158993941,None,70.41869158993941,None,70.41869158993941,None,[0.2673611],[-0.17430556],[0],[0],[1],[0.41675299999769777],0.012471689959056675,None,70.60573459998704,None,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2022-06-27_10h10.04.220,SelectiveAttentionTest,2022.1.3,59.81104495626496,
